aX,aY,aZ,gX,gY,gZ
0.588,-0.098,-0.536,-83.313,-256.531,-3.906
0.617,-0.101,-0.428,-80.383,-276.917,-4.333
0.603,-0.123,-0.339,-71.167,-303.406,-8.606
0.546,-0.176,-0.266,-59.998,-332.947,-14.709
0.460,-0.234,-0.182,-52.979,-359.924,-20.508
0.358,-0.266,-0.061,-55.298,-377.014,-24.841
0.253,-0.287,0.075,-70.251,-379.517,-26.978
0.189,-0.244,0.260,-96.680,-366.821,-26.306
0.163,-0.198,0.467,-125.183,-341.370,-24.658
0.149,-0.186,0.628,-150.635,-307.739,-25.818
0.134,-0.199,0.740,-176.819,-272.766,-30.090
0.119,-0.176,0.861,-200.806,-238.647,-33.569
0.127,-0.124,1.027,-213.867,-208.679,-34.180
0.128,-0.097,1.142,-210.754,-189.819,-32.104
0.137,-0.111,1.230,-195.007,-187.317,-27.649
0.092,-0.040,1.329,-177.551,-201.233,-20.569
0.097,0.014,1.421,-156.067,-218.689,-13.550
0.084,0.100,1.475,-132.446,-229.553,-7.935
0.140,0.055,1.488,-105.286,-228.516,-3.235
0.147,-0.065,1.459,-81.726,-221.008,-0.061
0.057,-0.167,1.402,-70.068,-205.627,-2.991
-0.022,-0.218,1.358,-80.139,-176.514,-10.315
-0.061,-0.181,1.404,-102.844,-135.010,-15.198
-0.046,-0.109,1.498,-118.591,-92.651,-18.005
0.009,-0.078,1.564,-123.718,-64.148,-18.127
0.031,-0.065,1.595,-116.821,-52.673,-14.099
0.055,-0.063,1.575,-93.628,-52.246,-9.399
0.069,-0.087,1.500,-64.209,-60.486,-0.977
0.096,-0.130,1.385,-37.231,-73.853,12.207
0.142,-0.186,1.243,-14.465,-86.853,26.428
0.164,-0.212,1.115,0.000,-95.764,37.781
0.154,-0.178,1.046,4.456,-97.290,42.480
0.152,-0.121,1.019,-2.319,-92.163,41.870
0.162,-0.069,1.006,-17.700,-83.252,39.490
0.172,-0.023,1.022,-35.461,-72.510,35.583
0.184,0.005,1.055,-50.171,-61.279,28.992
0.200,0.010,1.098,-59.570,-53.467,21.240
0.202,-0.007,1.141,-58.838,-50.049,13.062
0.159,-0.099,1.256,-49.622,-50.293,5.859
0.367,-0.212,2.192,-59.631,-49.500,0.122
0.495,0.043,2.651,-89.233,-48.767,-17.822
-0.017,0.484,2.113,-72.571,-20.935,-49.072
0.003,0.366,1.784,-45.349,57.068,-39.307
0.135,0.121,1.432,7.202,94.055,-23.315
0.059,0.008,0.877,53.467,64.819,-5.676
0.048,-0.137,0.478,80.994,21.606,13.489
0.097,-0.303,0.371,90.881,-9.399,31.372
0.136,-0.351,0.370,72.388,-40.955,42.175
0.177,-0.337,0.423,31.799,-70.374,46.997
0.199,-0.297,0.561,-10.254,-79.224,47.119
0.247,-0.235,0.804,-45.166,-63.049,45.227
0.305,-0.111,1.085,-70.313,-35.583,40.283
0.347,0.036,1.338,-76.843,-11.536,31.189
0.350,0.135,1.447,-59.021,5.066,18.860
0.315,0.192,1.401,-26.550,16.968,4.395
0.267,0.202,1.264,0.732,21.606,-6.042
0.246,0.156,1.089,14.221,18.555,-10.925
0.229,0.073,0.913,16.785,12.695,-11.780
0.210,-0.020,0.822,13.062,9.338,-11.169
0.211,-0.100,0.815,7.874,8.667,-10.681
0.216,-0.144,0.870,1.587,7.080,-10.254
0.229,-0.152,0.934,-4.822,3.784,-8.728
0.235,-0.143,0.995,-10.193,0.671,-5.310
0.235,-0.120,1.044,-13.245,-1.099,-2.319
