aX,aY,aZ,gX,gY,gZ
0.854,-0.222,0.011,17.273,122.620,6.470
0.851,-0.250,0.001,13.672,126.770,5.310
0.848,-0.254,0.000,10.925,130.249,5.432
0.860,-0.244,-0.008,12.329,131.958,5.554
0.874,-0.241,-0.023,20.447,129.700,5.554
0.886,-0.235,-0.061,31.494,123.169,5.249
0.881,-0.241,-0.136,40.588,113.220,3.723
0.863,-0.258,-0.215,44.250,101.196,1.709
0.839,-0.269,-0.280,41.931,92.041,0.305
0.820,-0.276,-0.334,35.034,88.501,0.244
0.825,-0.268,-0.372,26.001,90.393,1.648
0.836,-0.266,-0.395,19.775,94.604,3.479
0.848,-0.253,-0.405,16.846,95.947,5.371
0.864,-0.239,-0.428,16.724,93.079,6.470
0.885,-0.226,-0.439,16.785,84.900,6.042
0.895,-0.205,-0.480,17.029,72.449,4.578
0.892,-0.212,-0.522,20.447,59.326,1.892
0.887,-0.235,-0.503,20.569,46.936,-0.549
0.871,-0.206,-0.549,15.381,36.865,-1.831
0.868,-0.229,-0.539,14.404,30.945,-2.136
0.870,-0.240,-0.512,12.207,27.893,-1.099
0.867,-0.242,-0.502,8.240,24.292,0.061
0.868,-0.226,-0.476,4.150,19.287,0.610
0.886,-0.218,-0.449,1.282,14.099,1.526
0.902,-0.210,-0.428,-0.061,8.667,2.014
0.919,-0.224,-0.405,0.366,2.869,1.465
0.926,-0.224,-0.359,0.061,-2.380,0.488
0.945,-0.216,-0.295,-0.610,-6.165,-0.610
0.955,-0.232,-0.247,0.488,-8.606,-1.770
0.958,-0.246,-0.202,0.671,-9.888,-2.686
0.958,-0.248,-0.174,0.488,-10.010,-3.296
0.948,-0.262,-0.165,2.197,-9.705,-3.662
0.939,-0.261,-0.148,2.869,-8.972,-3.845
0.949,-0.273,-0.146,2.625,-7.385,-3.357
0.947,-0.293,-0.155,1.404,-5.737,-2.869
0.936,-0.303,-0.162,-1.404,-3.784,-2.380
0.928,-0.290,-0.154,-4.089,-1.465,-1.953

0.033,-0.062,0.965,-6.531,-1.831,34.180
-0.058,0.016,0.917,-7.019,-2.014,33.325
0.068,-0.012,0.990,-4.395,2.441,31.311
0.052,0.020,1.023,-10.559,-0.366,25.696
0.058,0.061,1.058,-6.958,0.854,15.991
0.067,0.065,1.143,0.854,4.700,6.409
0.051,0.079,1.232,12.695,10.559,-3.113
0.044,0.076,1.267,26.733,18.738,-10.437
0.078,0.026,1.186,40.100,29.846,-16.235
0.044,-0.021,1.116,49.255,46.509,-24.841
0.000,-0.014,1.095,50.598,61.218,-37.537
-0.007,0.119,1.094,42.908,62.988,-46.265
-0.009,0.062,1.076,40.649,54.565,-39.734
0.004,0.008,1.161,43.945,45.349,-35.217
0.131,-0.068,1.315,47.913,45.044,-34.302
-0.046,0.043,1.612,53.345,50.842,-37.659
-0.114,0.064,1.676,67.627,58.777,-45.654
-0.167,0.070,1.689,67.322,65.491,-46.204
-0.207,0.050,1.669,59.387,77.393,-41.748
-0.207,0.028,1.624,50.720,97.656,-36.255
-0.183,0.011,1.575,43.762,119.873,-30.945
-0.138,0.000,1.556,42.664,138.977,-26.733
-0.079,-0.025,1.565,47.058,151.123,-24.414
0.044,-0.103,1.593,55.603,155.212,-25.940
0.018,-0.107,1.613,70.923,154.358,-36.438
0.032,-0.016,1.508,89.355,148.437,-48.157
0.099,-0.003,1.413,94.971,140.137,-47.852
0.156,-0.083,1.324,97.961,135.376,-44.067
0.190,-0.088,1.274,104.858,135.620,-45.898
0.205,-0.060,1.240,107.239,136.475,-49.561
0.198,-0.034,1.194,107.239,138.794,-53.772
0.234,-0.078,1.182,108.765,145.081,-58.716
0.159,-0.097,1.038,110.657,152.771,-62.378
0.200,-0.181,1.032,116.760,168.884,-58.167
0.251,-0.290,0.986,123.047,178.162,-50.720
0.263,-0.352,0.919,126.770,177.002,-43.945
0.248,-0.307,0.853,124.939,168.335,-37.598
0.281,-0.294,0.766,119.141,158.386,-27.283
0.331,-0.286,0.705,110.840,150.696,-16.479
0.349,-0.281,0.628,102.112,144.165,-7.690
0.356,-0.283,0.601,96.680,141.113,-1.648
0.363,-0.265,0.608,92.224,141.418,3.296
0.381,-0.264,0.618,91.064,144.592,7.874
0.364,-0.292,0.601,91.736,148.132,13.245
0.329,-0.329,0.555,91.309,152.039,22.339
0.335,-0.384,0.495,91.125,158.264,34.363
0.470,-0.557,0.431,89.417,164.246,45.349
0.585,-0.634,0.375,84.045,165.405,42.908
0.534,-0.480,0.284,78.308,161.072,29.053
0.481,-0.415,0.270,76.660,162.048,26.672
0.504,-0.394,0.291,71.655,166.138,29.480
0.527,-0.332,0.308,64.880,167.297,29.236
0.536,-0.323,0.290,63.354,165.527,30.518
0.547,-0.355,0.296,64.819,163.330,33.264
0.576,-0.383,0.304,64.514,160.461,33.875
0.587,-0.417,0.281,59.326,154.968,33.386
0.585,-0.443,0.240,53.589,149.902,33.875
0.591,-0.463,0.191,49.988,148.682,33.936
0.611,-0.467,0.134,47.791,149.780,34.363
0.632,-0.464,0.087,49.011,151.184,34.546
0.641,-0.447,0.068,52.063,150.085,34.912
0.657,-0.402,0.089,53.528,146.118,35.828
0.682,-0.367,0.059,51.514,140.930,37.598
0.694,-0.356,0.001,48.645,135.986,39.795
0.709,-0.352,-0.052,42.419,132.568,40.039
0.741,-0.362,-0.080,33.875,130.798,39.612
0.779,-0.366,-0.068,27.649,129.883,37.781
0.815,-0.364,-0.050,25.940,128.967,34.546
0.820,-0.363,-0.062,28.564,125.916,29.602
0.813,-0.369,-0.094,32.166,121.887,24.902
0.798,-0.383,-0.130,36.011,116.516,21.484
0.790,-0.418,-0.173,39.490,111.206,19.897
0.780,-0.440,-0.220,42.786,106.812,20.447
0.740,-0.397,-0.405,45.654,101.990,22.339
0.768,-0.390,-0.292,44.922,93.079,24.414
0.833,-0.323,-0.324,27.771,84.839,29.724
0.802,-0.294,-0.467,30.579,75.500,28.564
0.894,-0.291,-0.277,36.926,68.115,23.071
0.837,-0.255,-0.507,32.593,64.758,23.010
0.832,-0.273,-0.378,40.710,52.185,15.625
0.933,-0.290,-0.253,20.203,49.316,14.404
0.879,-0.341,-0.308,19.348,51.575,14.648
0.872,-0.379,-0.355,37.231,52.612,4.272
0.875,-0.353,-0.399,37.292,47.546,0.854
0.883,-0.328,-0.438,28.748,38.574,3.540
0.888,-0.338,-0.458,28.381,29.053,3.601
0.897,-0.349,-0.448,27.039,20.569,2.258
0.893,-0.339,-0.437,24.292,15.564,2.625
0.886,-0.341,-0.421,24.109,12.634,2.869
0.886,-0.323,-0.419,23.132,11.658,2.319
0.896,-0.297,-0.414,18.433,11.719,2.136
0.912,-0.304,-0.406,11.292,12.268,3.601
0.937,-0.318,-0.381,4.944,12.085,5.005
0.954,-0.324,-0.375,3.906,9.949,4.578
0.958,-0.317,-0.399,7.690,4.578,2.075
